Manufacturer,Model,Sales_in_thousands,__year_resale_value,Vehicle_type,Price_in_thousands,Engine_size,Horsepower,Wheelbase,Width,Length,Curb_weight,Fuel_capacity,Fuel_efficiency,Latest_Launch,Power_perf_factor,
Acura,Integra,16.9,16.4,Passenger,$21.50,1.8,140,101.2,67.3,172.4,2.639,13.2,28,02-02-2012,58.28014952,
Acura,TL,39.4,19.9,Passenger,$28.40,3.2,225,108.1,70.3,192.9,3.517,17.2,25,06-03-2011,91.37077766,
Acura,CL,14.1,18.2,Passenger,,3.2,225,106.9,70.6,192,3.47,17.2,26,01-04-2012,,
Acura,RL,8.6,29.7,Passenger,$42.00,3.5,210,114.6,71.4,196.6,3.85,18,22,03-10-2011,91.38977933,
Audi,A4,20.4,22.3,Passenger,$23.99,1.8,150,102.6,68.2,178,2.998,16.4,27,10-08-2011,62.7776392,
Audi,A6,18.8,23.6,Passenger,$33.95,2.8,200,108.7,76.1,192,3.561,18.5,22,08-09-2011,84.56510502,
Audi,A8,1.4,39.0,Passenger,$62.00,4.2,310,113,74,198.2,3.902,23.7,21,2/27/2012,134.6568582,
BMW,323i,19.7,,Passenger,$26.99,2.5,170,107.3,68.4,176,3.179,16.6,26,6/28/2011,71.19120671,
BMW,328i,9.2,28.7,Passenger,$33.40,2.8,193,107.3,68.5,176,3.197,16.6,24,1/29/2012,81.87706856,
BMW,528i,17.5,36.1,Passenger,$38.90,2.8,193,111.4,70.9,188,3.472,18.5,25,04-04-2011,83.9987238,
Buick,Century,91.6,12.5,Passenger,$21.98,3.1,175,109,72.7,194.6,3.368,17.5,25,11-02-2011,71.18145132,
Buick,Regal,39.4,13.7,Passenger,$25.30,3.8,240,109,72.7,196.2,3.543,17.5,23,09-03-2011,95.63670253,
Buick,Park Avenue,27.9,20.2,Passenger,$31.97,3.8,205,113.8,74.7,206.8,3.778,18.5,24,3/23/2012,85.82840825,
Buick,LeSabre,83.3,13.4,Passenger,$27.89,3.8,205,112.2,73.5,200,3.591,17.5,25,7/23/2011,84.25452581,
Cadillac,DeVille,63.7,22.5,Passenger,$39.90,4.6,275,115.3,74.5,207.2,3.978,18.5,22,2/23/2012,113.8545976,
Cadillac,Seville,15.9,27.1,Passenger,$44.48,4.6,275,112.2,75,201,,18.5,22,4/29/2011,115.6213578,
Cadillac,Eldorado,6.5,25.7,Passenger,$39.67,4.6,275,108,75.5,200.6,3.843,19,22,11/27/2011,113.7658739,
Cadillac,Catera,11.2,18.2,Passenger,$31.01,3,200,107.4,70.3,194.8,3.77,18,22,9/28/2011,83.48309358,
Cadillac,Escalade,14.8,,Car,$46.23,5.7,255,117.5,77,201.2,5.572,30,15,4/17/2012,109.5091165,
Chevrolet,Cavalier,145.5,9.3,Passenger,$13.26,2.2,115,104.1,67.9,180.9,2.676,14.3,27,8/17/2011,46.36334747,
Chevrolet,Malibu,135.1,11.2,Passenger,$16.54,3.1,170,107,69.4,190.4,3.051,15,25,3/19/2012,67.31446216,
Chevrolet,Lumina,24.6,10.3,Passenger,$18.89,3.1,175,107.5,72.5,200.9,3.33,16.6,25,5/24/2011,69.9913956,
Chevrolet,Monte Carlo,42.6,11.5,Passenger,$19.39,3.4,180,110.5,72.7,197.9,3.34,17,27,12/22/2011,72.03091719,
Chevrolet,Camaro,26.4,13.0,Passenger,$24.34,3.8,200,101.1,74.1,193.2,3.5,16.8,25,10/23/2011,81.11854333,
Chevrolet,Corvette,17.9,36.2,Passenger,$45.71,5.7,345,104.5,73.6,179.7,3.21,19.1,22,05-12-2012,141.14115,
Chevrolet,Prizm,32.3,9.1,Passenger,$13.96,1.8,120,97.1,66.7,174.3,2.398,13.2,33,09-11-2011,48.2976361,
Chevrolet,Metro,21.9,5.2,Passenger,$9.24,1,55,93.1,62.6,149.4,1.895,10.3,45,4/13/2012,23.27627233,
Chevrolet,Impala,108.0,,Passenger,$18.89,3.4,180,110.5,73,200,3.389,17,27,6/18/2011,71.83803944,
Chrysler,Sebring Coupe,7.9,12.4,Passenger,$19.84,2.5,163,103.7,69.7,190.9,2.967,15.9,24,1/16/2012,65.95718396,
Chrysler,Sebring Conv.,32.8,14.2,Passenger,$24.50,2.5,168,106,69.2,193,3.332,16,24,11/17/2011,69.52135505,
Chrysler,Concorde,31.1,13.7,Passenger,$22.25,2.7,200,113,74.4,209.1,3.452,17,26,06-06-2012,80.02378204,
Chrysler,Cirrus,32.3,12.6,Passenger,$16.48,2,132,108,71,186,2.911,16,27,10-06-2011,53.56619987,
Chrysler,LHS,13.5,17.3,Passenger,$28.34,3.5,253,113,74.4,207.7,3.564,17,23,05-08-2012,101.3292807,
Chrysler,Town & Country,53.5,19.5,Car,,,,,,,,,,7/13/2011,,
Chrysler,300M,30.7,,Passenger,$29.19,3.5,253,113,74.4,197.8,3.567,17,23,02-10-2012,101.6552441,
Dodge,Neon,76.0,7.8,Passenger,$12.64,2,132,105,74.4,174.4,2.567,12.5,29,12-12-2011,52.08489875,
Dodge,Avenger,4.7,12.5,Passenger,$19.05,2.5,163,103.7,69.1,190.2,2.879,15.9,24,07-01-2012,65.65050834,
Dodge,Stratus,71.2,10.2,Passenger,$20.23,2.5,168,108,71,186,3.058,16,24,10/31/2011,67.87610784,
Dodge,Intrepid,88.0,12.3,Passenger,$22.51,2.7,202,113,74.7,203.7,3.489,17,,06-02-2012,80.83147017,
Dodge,Viper,0.9,58.5,Passenger,$69.73,8,450,96.2,75.7,176.7,3.375,19,16,08-07-2011,188.144323,
Dodge,Ram Pickup,227.1,15.1,Car,$19.46,5.2,230,138.7,79.3,224.2,4.47,26,17,03-06-2012,90.21170005,
Dodge,Ram Wagon,16.8,15.5,Car,$21.32,3.9,175,109.6,78.8,192.6,4.245,32,15,01-06-2012,71.13529161,
Dodge,Ram Van,31.0,13.4,Car,$18.58,3.9,175,127.2,78.8,208.5,4.298,32,16,7/26/2012,70.07832154,
Dodge,Dakota,111.3,11.3,Car,$16.98,2.5,120,131,71.5,215,3.557,22,19,11/25/2011,49.64500177,
Dodge,Durango,101.3,,Car,$26.31,5.2,230,115.7,71.7,193.5,4.394,25,17,6/27/2012,92.85412522,
Dodge,Caravan,181.7,12.0,Car,$19.57,2.4,150,113.3,76.8,186.3,3.533,20,24,09-01-2011,61.22700031,
Ford,Escort,70.2,7.4,Passenger,$12.07,2,110,98.4,67,174.7,2.468,12.7,30,3/31/2012,44.08370946,
Ford,Mustang,113.4,12.8,Passenger,$21.56,3.8,190,101.3,73.1,183.2,3.203,15.7,24,1/31/2012,76.50918456,
Ford,Contour,35.1,8.8,Passenger,$17.04,2.5,170,106.5,69.1,184.6,2.769,15,25,8/20/2012,67.35101072,
