Manufacturer,Model,Vehicle_type,Engine_size,Horsepower,Wheelbase,Width,Length,Curb_weight,Fuel_capacity,Fuel_efficiency,Latest_Launch,Power_perf_factor,Sales,Price,Resale_Value
Acura,Integra,Passenger,1.8,140.0,101.2,67.3,172.4,2.639,13.2,28.0,2012-02-02,58.28014952,16900.0,21500.0,16400.0
Acura,TL,Passenger,3.2,225.0,108.1,70.3,192.9,3.517,17.2,25.0,2011-06-03,91.37077766,39400.0,28400.0,19900.0
Acura,CL,Passenger,3.2,225.0,106.9,70.6,192.0,3.47,17.2,26.0,2012-01-04,72.03091719,14100.0,22800.0,18200.0
Acura,RL,Passenger,3.5,210.0,114.6,71.4,196.6,3.85,18.0,22.0,2011-03-10,91.38977933,8600.0,42000.0,29700.0
Audi,A4,Passenger,1.8,150.0,102.6,68.2,178.0,2.998,16.4,27.0,2011-10-08,62.7776392,20400.0,23990.0,22300.0
Audi,A6,Passenger,2.8,200.0,108.7,76.1,192.0,3.561,18.5,22.0,2011-08-09,84.56510502,18800.0,33950.0,23600.0
Audi,A8,Passenger,4.2,310.0,113.0,74.0,198.2,3.902,23.7,21.0,2012-02-27,134.6568582,1400.0,62000.0,39000.0
BMW,323i,Passenger,2.5,170.0,107.3,68.4,176.0,3.179,16.6,26.0,2011-06-28,71.19120671,19700.0,26990.0,14200.0
BMW,328i,Passenger,2.8,193.0,107.3,68.5,176.0,3.197,16.6,24.0,2012-01-29,81.87706856,9200.0,33400.0,28700.0
BMW,528i,Passenger,2.8,193.0,111.4,70.9,188.0,3.472,18.5,25.0,2011-04-04,83.9987238,17500.0,38900.0,36100.0
Buick,Century,Passenger,3.1,175.0,109.0,72.7,194.6,3.368,17.5,25.0,2011-11-02,71.18145132,91600.0,21980.0,12500.0
Buick,Regal,Passenger,3.8,240.0,109.0,72.7,196.2,3.543,17.5,23.0,2011-09-03,95.63670253,39400.0,25300.0,13700.0
Buick,Park Avenue,Passenger,3.8,205.0,113.8,74.7,206.8,3.778,18.5,24.0,2012-03-23,85.82840825,27900.0,31970.0,20200.0
Buick,LeSabre,Passenger,3.8,205.0,112.2,73.5,200.0,3.591,17.5,25.0,2011-07-23,84.25452581,83300.0,27890.0,13400.0
Cadillac,DeVille,Passenger,4.6,275.0,115.3,74.5,207.2,3.978,18.5,22.0,2012-02-23,113.8545976,63700.0,39900.0,22500.0
Cadillac,Seville,Passenger,4.6,275.0,112.2,75.0,201.0,3.342,18.5,22.0,2011-04-29,115.6213578,15900.0,44480.0,27100.0
Cadillac,Eldorado,Passenger,4.6,275.0,108.0,75.5,200.6,3.843,19.0,22.0,2011-11-27,113.7658739,6500.0,39670.0,25700.0
Cadillac,Catera,Passenger,3.0,200.0,107.4,70.3,194.8,3.77,18.0,22.0,2011-09-28,83.48309358,11200.0,31010.0,18200.0
Cadillac,Escalade,Car,5.7,255.0,117.5,77.0,201.2,5.572,30.0,15.0,2012-04-17,109.5091165,14800.0,46230.0,14200.0
Chevrolet,Cavalier,Passenger,2.2,115.0,104.1,67.9,180.9,2.676,14.3,27.0,2011-08-17,46.36334747,145500.0,13260.0,9300.0
Chevrolet,Malibu,Passenger,3.1,170.0,107.0,69.4,190.4,3.051,15.0,25.0,2012-03-19,67.31446216,135100.0,16540.0,11200.0
